FD_Emp_ID,FD_Emp_Name,FD_Emp_DOB,FD_Emp_PhoneNumber,FD_Emp_Email,FD_Emp_Address,Mangr_ID
101,"Derek Abbotson","2001-05-20 00:00:00",947-218-2617,derekabbotson@gmail.com,"170 Parker Hill",2
102,"Jacob Oram","1991-03-12 00:00:00",857-313-1212,jacoboram@nzc.com,"431 Park Drive",1
103,"Doralynn Coatsworth","1990-11-12 00:00:00",901-367-2617,dcoatsworth6@hotmail.com,"881 Hungtington Ave",3
104,"Almeida DSouza","2000-12-11 00:00:00",859-085-2213,adsouza@tesla.com,"200 Beacon Street",4
105,"Madan Lal","1983-06-14 00:00:00",333-555-8881,mlal143@lords.com,"10 Downing Street",5
106,"Vicky Donnovan","1998-07-17 00:00:00",367-543-8121,donnovanvick@mysticfalls.com,"312 Ridgeway Place",5
107,"Erlich Bachmann","1985-03-12 00:00:00",412-754-3243,erlich@piedpier.com,"857 Opera Pl",3
108,"Albie Morkel","2002-09-20 00:00:00",332-545-5459,albiem34@csa.com,"234 Seaport Blvd",8
109,"Tom Cruise","1997-12-01 00:00:00",384-723-3448,cruisetommy56@hollywood.com,"02 Hudson Lane",6
110,"Mike Tyson","1989-04-03 00:00:00",918-456-1298,mikeyt98@boxing.com,"311 Krippling Crossing",10
