N_ID,N_Name,N_DOB,N_PhoneNumber,N_Email,N_Salary,N_Address,Locker_ID,FD_Emp_ID,Mangr_ID
201,"Kimbell Sykora","1990-04-08 00:00:00",205-378-3579,ksykoraf@rediff.com,40000.50,"95322 Harper Lane",91,107,1
202,"Nolan Chafer","1995-12-18 00:00:00",788-680-9323,nchaferg@ask.com,45500.50,"7 Northport Junction",NULL,106,2
203,"Oralla Southwell","1991-03-14 00:00:00",438-305-2219,osouthwellh@umich.edu,50000.00,"912 Thierer Circle",92,103,1
204,"Allister Moncey","1997-04-20 00:00:00",153-867-8292,amonceyi@washingtonpost.com,33458.87,"806 Pearson Avenue",93,104,5
205,"Harv Cuckson","1987-03-25 00:00:00",280-805-1860,hcucksonj@bloglines.com,34635.88,"763 Donald Street",NULL,103,3
206,"Christie Colbert","1983-05-12 00:00:00",169-132-8728,ccolbertk@auda.org.au,35500.50,"2941 Garrison Court",94,105,4
207,"Zia Skacel","1988-03-28 00:00:00",478-131-7586,zskacela@weather.com,32242.77,"408 Artisan Terrace",71,102,6
208,"Rosemary Gubbins","1996-02-04 00:00:00",177-205-6716,rgubbinsb@thetimes.co.uk,49002.88,"2373 Bonner Alley",73,106,7
209,"Conan Pringle","1980-05-27 00:00:00",322-322-0013,cpringlec@liveinternet.ru,35575.31,"34 Raven Street",74,103,4
210,"Hamish Iacovolo","1986-05-02 00:00:00",861-914-8541,hiacovolod@typepad.com,31012.19,"6 Ronald Regan Point",NULL,103,9
211,"Anthea Speke","1990-07-27 00:00:00",277-352-1774,aspekee@discovery.com,49275.1,"9388 Rutledge Road",NULL,104,6
212,"Rupert Bloodworthe","1995-05-22 00:00:00",494-636-1722,rbloodworthef@dot.gov,47359.02,"752 Westend Street",76,110,8
213,"Helli Fildery","1988-05-16 00:00:00",564-862-6837,hfilderyg@cnbc.com,46072.74,"77 Golf Course Road",77,105,2
214,"Chicky Turneux","1995-03-31 00:00:00",511-408-6908,cturneuxh@soundcloud.com,40437.98,"5450 Meadow Vale Parkway",78,110,8
215,"Darrel Mycroft","1994-07-17 00:00:00",875-389-5864,dmycrofti@tamu.edu,39114.77,"399 Veith Lane",79,101,1
