PT_ID,PT_Name,PT_DOB,PT_PhoneNumber,PT_Email,PT_Salary,PT_Address,Locker_ID,FD_Emp_ID,Mangr_ID
301,"Xenos Loughlan","1985-10-04 00:00:00",323-784-8680,xloughlanl@google.co.jp,34635.88,"24 Farragut Junction",NULL,105,2
302,"Marten Mariette","1989-11-17 00:00:00",939-934-1709,mmariettem@buzzfeed.com,25000.65,"28214 Dakota Junction",81,105,3
303,"Charissa Smee","1981-01-15 00:00:00",687-194-9115,csmeen@oracle.com,34765.98,"36585 Green Ridge Trail",NULL,101,2
304,"Garland Ryce","1990-08-10 00:00:00",688-631-5689,gryceo@bigcartel.com,39570.00,"65 Barnett Court",82,106,4
305,"Goldina Rainford","1987-04-17 00:00:00",128-336-2863,grainfordq@mayoclinic.com,43567.99,"940 Ludington Plaza",83,103,2
306,"Kelley Towson","1984-03-16 00:00:00",116-183-7518,ktowsonr@globo.com,43536.77,"24510 Summer Ridge Park",84,104,5
307,"Vick Waddie","1989-04-27 00:00:00",454-272-4416,vwaddie0@ameblo.jp,46041.65,"654 Daystar Junction",NULL,107,2
308,"Meredithe Kyrkeman","1997-08-19 00:00:00",888-702-4561,mkyrkeman1@exblog.jp,28947.68,"52 Grover Terrace",85,106,10
309,"Kristen Henriques","1977-11-24 00:00:00",983-990-0027,khenriques2@answers.com,31927.54,"81 Killdeer Point",86,102,7
310,"June Dillintone","1998-09-19 00:00:00",876-577-5104,jdillintone3@wired.com,44827.58,"2842 International Court",87,101,3
311,"Othilie Dodsley","1988-04-09 00:00:00",151-737-0636,ododsley4@mail.ru,35216.19,"7 Shoshone Center",NULL,106,4
312,"Sandro Cogdon","2002-11-18 00:00:00",385-570-8687,scogdon5@canalblog.com,43261.55,"926 Commercial Court",88,108,1
313,"Uta Phelipeaux","1989-09-11 00:00:00",195-256-4879,uphelipeaux6@pagesperso-orange.fr,38925.58,"9151 Forest Run Road",89,110,8
314,"Brook Caldron","1989-12-15 00:00:00",315-185-7097,bcaldron7@netvibes.com,40819.37,"2116 Sachtjen Road",90,108,9
315,"Cynthia Tabourier","2001-07-08 00:00:00",299-654-7252,ctabourier8@mysql.com,29211.28,"63472 Fordem Park",NULL,102,2
